,Source,Target,JSD,Adaptivity,L2D,Source Accuracy,Serving Accuracy,Finetune Accuracy,max_voting_JSD_%,max_voting_Adaptivity_%,max_voting_L2D_%,max_voting_Source Accuracy_%
0,Movie_2,Tweets_hatred_5,0.1492412903755848,6.714285714285714,0.0892544952502817,80.80000281333923,92.66666769981384,6.400000303983688,,76.6,,
1,Financial_News_1,Tweets_hatred_5,0.4909862153124729,0.8571428571428571,0.1591689373360169,96.79999947547913,83.1333339214325,91.00000262260436,,,,95.25
2,Movie_1,Tweets_hatred_5,0.1471018707457978,6.142857142857143,0.0886853734955091,81.5999984741211,77.46666669845581,93.59999895095824,82.75,,82.75,89.2
3,Tweets_1,Tweets_hatred_5,0.0814951650580922,7.0,0.0535686381831898,69.40000057220459,73.00000190734863,59.3999981880188,93.4,94.6,93.4,
4,Financial_News_2,Tweets_hatred_5,0.5052649297003372,4.285714285714286,0.1638380329930129,91.60000085830688,71.5333342552185,89.99999761581421,,,,86.75
5,Tweets_2,Tweets_hatred_5,0.0849334063563225,7.0,0.0554806697559239,68.59999895095825,67.1999990940094,52.60000228881836,90.35,89.14999999999999,90.35,
6,Tweets_1,Tweets_2,0.0147385611788473,7.0,0.0197735689450804,69.40000057220459,68.46666932106018,68.99999976158142,77.9,62.0,77.9,
7,Financial_News_1,Tweets_2,0.5274443542735169,0.0,0.152934708129532,96.79999947547913,62.33333349227905,67.00000166893005,,,,92.9
8,Financial_News_2,Tweets_2,0.5425459995374964,3.0,0.1569661578098587,91.60000085830688,60.39999723434448,64.99999761581421,,,,88.94999999999999
9,Movie_1,Tweets_2,0.1316003671468952,5.857142857142857,0.0799716268196328,81.5999984741211,60.19999980926514,64.99999761581421,91.60000000000001,,91.60000000000001,
10,Movie_2,Tweets_2,0.1357335995772331,6.714285714285714,0.0803454548465681,80.80000281333923,52.13333368301392,69.40000057220459,,98.85000000000001,,
11,Tweets_hatred_5,Tweets_2,0.0849334063563225,7.0,0.0554806697559239,93.19999814033508,51.93333625793457,52.99999713897705,80.2,96.1,80.2,83.05
12,Tweets_2,Tweets_1,0.0147385611788473,7.0,0.0197735689450804,68.59999895095825,80.40000200271606,72.60000109672546,71.3,54.35,71.3,
13,Financial_News_1,Tweets_1,0.5285894193697733,0.8571428571428571,0.1521776916288177,96.79999947547913,61.133331060409546,68.4000015258789,,,,93.60000000000001
14,Financial_News_2,Tweets_1,0.5447141070759753,4.428571428571429,0.1571763072701987,91.60000085830688,60.06666421890259,66.79999828338623,,,,89.1
15,Movie_1,Tweets_1,0.1317125074503076,6.428571428571429,0.0806237473490888,81.5999984741211,58.666664361953735,62.1999979019165,93.95,,93.95,
16,Movie_2,Tweets_1,0.1358762117639634,6.714285714285714,0.0811447324771794,80.80000281333923,50.40000081062317,67.79999732971191,,99.2,,
17,Tweets_hatred_5,Tweets_1,0.0814951650580922,7.0,0.0535686381831898,93.19999814033508,49.5333343744278,49.39999878406525,79.4,96.35000000000001,79.4,81.95
18,Financial_News_1,Movie_2,0.4834209474498242,0.0,0.1915727668609157,96.79999947547913,85.39999723434448,82.40000009536743,,,,75.4
19,Tweets_1,Movie_2,0.1358762117639634,6.714285714285714,0.0811447324771794,69.40000057220459,82.20000267028809,81.5999984741211,92.10000000000001,92.10000000000001,92.10000000000001,
20,Tweets_2,Movie_2,0.1357335995772331,6.714285714285714,0.0803454548465681,68.59999895095825,81.93333148956299,82.99999833106995,94.6,94.6,94.6,
21,Movie_1,Movie_2,0.0014414966823139,7.0,0.0064934409374919,81.5999984741211,80.73333501815796,79.60000038146973,88.14999999999999,88.14999999999999,88.14999999999999,
22,Financial_News_2,Movie_2,0.4966755256603189,4.571428571428571,0.2010396267124071,91.60000085830688,67.00000166893005,53.39999794960022,,,,99.7
23,Tweets_hatred_5,Movie_2,0.1492412903755848,6.714285714285714,0.0892544952502817,93.19999814033508,49.2000013589859,67.79999732971191,,,,81.95
24,Movie_2,Movie_1,0.0014414966823139,7.0,0.0064934409374919,80.80000281333923,81.93333148956299,85.79999804496765,84.89999999999999,97.05,84.89999999999999,
25,Financial_News_1,Movie_1,0.4853312617395319,1.7142857142857142,0.1929014111902465,96.79999947547913,79.46666479110718,85.6000006198883,,,,74.35000000000001
26,Tweets_2,Movie_1,0.1316003671468952,5.714285714285714,0.0799716268196328,68.59999895095825,78.26666831970215,85.39999723434448,94.1,,94.1,
27,Tweets_1,Movie_1,0.1317125074503076,6.571428571428571,0.0806237473490888,69.40000057220459,77.33333110809326,85.00000238418579,93.10000000000001,80.95,93.10000000000001,
28,Financial_News_2,Movie_1,0.4965689184505851,5.428571428571429,0.2013241762349601,91.60000085830688,64.86666798591614,74.00000095367432,,,,99.5
29,Tweets_hatred_5,Movie_1,0.1471018707457978,6.857142857142857,0.0886853734955091,93.19999814033508,49.73333477973938,63.200002908706665,,63.55,,83.39999999999999
30,Financial_News_1,Financial_News_2,0.0198585621648711,0.8571428571428571,0.02165547290115,96.79999947547913,92.13333129882812,96.39999866485596,87.0,,95.5,88.64999999999999
31,Tweets_1,Financial_News_2,0.5447141070759753,4.714285714285714,0.1571763072701987,69.40000057220459,89.20000195503235,95.20000219345091,,83.1,96.35000000000001,
32,Tweets_2,Financial_News_2,0.5425459995374964,2.857142857142857,0.1569661578098587,68.59999895095825,87.73333430290222,95.80000042915344,,,94.0,
33,Movie_1,Financial_News_2,0.4965689184505851,5.428571428571429,0.2013241762349601,81.5999984741211,75.19999742507935,93.00000071525574,92.05,93.60000000000001,,90.4
34,Movie_2,Financial_News_2,0.4966755256603189,4.285714285714286,0.2010396267124071,80.80000281333923,71.20000123977661,95.80000042915344,89.25,87.7,,
35,Tweets_hatred_5,Financial_News_2,0.5052649297003372,3.7142857142857135,0.1638380329930129,93.19999814033508,70.80000042915344,79.19999957084656,,,,85.35000000000001
36,Tweets_1,Financial_News_1,0.5285894193697733,0.8571428571428571,0.1521776916288177,69.40000057220459,93.80000233650208,97.39999771118164,,88.44999999999999,96.25,
37,Tweets_2,Financial_News_1,0.5274443542735169,0.0,0.152934708129532,68.59999895095825,90.73333144187929,93.4000015258789,,,94.15,
38,Financial_News_2,Financial_News_1,0.0198585621648711,0.8571428571428571,0.02165547290115,91.60000085830688,85.6000006198883,95.9999978542328,88.9,96.5,88.7,88.94999999999999
39,Movie_1,Financial_News_1,0.4853312617395319,1.7142857142857142,0.1929014111902465,81.5999984741211,73.53333234786987,91.79999828338624,91.8,84.2,,91.75
40,Movie_2,Financial_News_1,0.4834209474498242,0.0,0.1915727668609157,80.80000281333923,73.00000190734863,95.20000219345091,88.35,,,
41,Tweets_hatred_5,Financial_News_1,0.4909862153124729,0.8571428571428571,0.1591689373360169,93.19999814033508,72.26666808128357,89.60000276565552,,,,84.35000000000001
